support,itemsets
0.003223085728055907,frozenset({'5Am Club (The)'})
0.0043978552924874995,"frozenset({""A Doll's House""})"
0.010181336225073799,frozenset({'A Promised Land (Barack Obama)'})
0.003223085728055907,frozenset({'Americanah'})
0.008464365323212241,frozenset({'Becoming By Michelle Obama (Hard Cover)'})
0.0053918910777757696,frozenset({'Blossoms of the Savannah'})
0.009398156515452737,frozenset({'Born a crime'})
0.0037954093620097594,frozenset({'Canon Ink Cartridge. PG-46 Black'})
0.005060545816013013,frozenset({'Chozi la Heri'})
0.0040966323272486295,frozenset({'Comprehensive Primary School Atlas'})
0.00638592686306404,frozenset({'DRUNK'})
0.003102596541960359,frozenset({'Dollar Fountain pen'})
0.004909934333393578,frozenset({'Doms Colour Pencils 24pcs Full Size 3446'})
0.003012229652388698,frozenset({'Doms Water colour cakes 12s 7427/7430'})
0.003162841135008133,frozenset({'Drawing Book A3 Ref053'})
0.006144948490872944,frozenset({'Drawing Book A4 Ref:052'})
0.0037050424724380986,frozenset({'Exercise books 120 pages Kartasi Brand Single Line Manila Cover'})
0.0037351647689619857,frozenset({'Exercise books 120pages Kartasi Brand A4 Single Ruled Manila Cover'})
0.004427977589011386,frozenset({'Exercise books 200 pages Kartasi Brand A4 Single Line Manila Cover'})
0.0035845532863425507,frozenset({'Exercise books 200 pages Kartasi Brand Single Line Manila Cover'})
0.004518344478583047,frozenset({'Exercise books 200pages Kartasi Brand Square Manila Cover'})
0.003223085728055907,frozenset({'Fevicryl Acrylic Colour 200ml AC08 Cad Yellow'})
0.003223085728055907,frozenset({'Fevicryl Acrylic Colour 200ml AC10 Cad Red'})
0.005150912705584674,frozenset({'Fevicryl acrylic Colour 200ml AC20 Mars Black'})
0.006898005903970119,frozenset({'Good News Bible'})
0.007470329537923971,"frozenset({'Haco Ruler 12"" Clear'})"
0.0036749201759142115,"frozenset({'Half of a Yellow Sun:Divided by war,united by love'})"
0.008223386951021146,frozenset({'Helix Oxford Mathematical Set (Geometric set)'})
0.0037652870654858728,frozenset({'Homegoing'})
0.005271401891680222,frozenset({'How to Win Friends and Influence People'})
0.007410084944876197,frozenset({'Hp Ink Cartidge 650 Black'})
0.005662991746490752,frozenset({'Hp Ink Cartidge 650 Colour'})
0.005632869449966865,frozenset({'Hp Ink Cartidge 652 Black'})
0.004849689740345804,frozenset({'Hp Ink Cartidge 652 Colour'})
0.003253208024579794,frozenset({'Hp ink Cartridge 122 Black'})
0.009699379480691607,frozenset({'Hp ink Cartridge 123 Black'})
0.005813603229110187,frozenset({'Hp ink Cartridge 123 Colour'})
0.003283330321103681,frozenset({'KCSE Made Familiar: A Biology Workbook 1995-2019'})
0.0036146755828664378,frozenset({'KNEC Four Figure Elementary Mathematical tables 6th edition'})
0.004578589071630821,frozenset({'Kamusi ya Kiswahili Sanifu Toleo la Tatu'})
0.004638833664678595,frozenset({'Kigogo (Story Moja)'})
0.003343574914151455,frozenset({'Kyocera FS-1025MFP- Black & White'})
0.0037050424724380986,frozenset({'Manilla Paper Imported 20*30 220/240gms White'})
0.005572624856919091,frozenset({'Moulding Clay  500gsm MBJ'})
0.004819567443821917,frozenset({'Oxford Advanced Learners Dictionary 9ED'})
0.0034339418037231157,frozenset({'Oxford Handbook of Clinical Medicine 10th Edition'})
0.0035544309898186636,frozenset({'Pearl (Setbook)'})
0.0035845532863425507,frozenset({'Pebeo acrylic paint 59ml 097801 White'})
0.008916199771070546,frozenset({'Pelikan Eraser BR40'})
0.004849689740345804,frozenset({'Pelikan Eraser BR80'})
0.004699078257726369,frozenset({'Pelikan Glue Stick 20gms 335810'})
0.007440207241400085,frozenset({'Pelikan Glue Stick 40gms 335671'})
0.004819567443821917,frozenset({'Pelikan HB Pencil without Eraser 1 Doz'})
0.003403819507199229,frozenset({'Pelikan Mathematical Set (Geometric set)'})
0.004307488402915839,frozenset({'Pelikan Plastic Ruler 30cm 590002'})
0.004458099885535273,frozenset({'Pelikan Plastic Sharpener'})
0.00448822218205916,frozenset({'Pelikan Soft gel pen Blue'})
0.004277366106391951,frozenset({'Pelikan coloured Pencil Full Size 12pcs 998286'})
0.0037351647689619857,frozenset({'Pencil sharpener Metal A1002'})
0.018495090065666606,frozenset({'Photocopy Paper A4 AONE'})
0.004608711368154708,frozenset({'Photocopy Paper A4 Double'})
0.004759322850774143,frozenset({'Photocopy Paper A4 Paperline Global White'})
0.003976143141153081,frozenset({'Power of Positive Thinking'})
0.003012229652388698,frozenset({'Primary Mathematics Std 5'})
0.003162841135008133,frozenset({'Primary Science Std 5 4th Edition'})
0.003373697210675342,frozenset({'Racer ball pens Promo'})
0.00319296343153202,frozenset({'Read it yourself with Ladybird Level 1 The Magic porridge pot'})
0.0037050424724380986,frozenset({'Sound and Read Book 1 Revised Edition'})
0.00698837279354178,frozenset({'Spring File PVC Rapid'})
0.00418699921682029,frozenset({'Staedtler Pencil 110 HB'})
0.003132718838484246,"frozenset({""Sulwe -English (Lupita Nyong'o) (Paperback)""})"
0.005843725525634075,frozenset({'TBC Eco-Friendly Shopping bag 48X39X10cm 80gms'})
0.003162841135008133,frozenset({'The 7 Habits of Highly Effective People : Powerful lessons in personal change'})
0.005211157298632448,frozenset({'The Alchemist'})
0.0066269052352551355,frozenset({'The Havoc of Choice'})
0.003072474245436472,frozenset({'The Power of Habit: Why we do what we do and how to change'})
0.0030423519489125852,frozenset({'The Subtle Art of Not Giving a F*ck'})
0.003072474245436472,frozenset({'Things i will tell my Daughter'})
0.005572624856919091,frozenset({'Tumbo Lisiloshiba (Longhorn)'})
0.003403819507199229,"frozenset({""Unbowed One woman's Story""})"
0.0035845532863425507,frozenset({'We should all be Feminists (UK Version)'})
0.003102596541960359,"frozenset({""We're Going to Need More Wine""})"
0.0033134526176275677,frozenset({'When Breath Becomes Air (Small)'})
0.003102596541960359,"frozenset({'Why Nations fail:The Origins of Power, Prosperity and Poverty'})"
0.004909934333393578,"frozenset({'Hp Ink Cartidge 650 Black', 'Hp Ink Cartidge 650 Colour'})"
0.004126754623772516,"frozenset({'Hp Ink Cartidge 652 Black', 'Hp Ink Cartidge 652 Colour'})"
0.004879812036869691,"frozenset({'Hp ink Cartridge 123 Colour', 'Hp ink Cartridge 123 Black'})"
